design,inquiry,estimator,term,effect_size_dd,rho_dd,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,2FE,Z,100,0.3,mean_estimand,100,0,100,100
design_1,ATE,2FE,Z,100,0.3,mean_estimate,106.01616064465216,3.4666212787050648,99.73282240885649,112.74682619399462
design_1,ATE,2FE,Z,100,0.3,bias,6.016160644652162,3.4666212787050648,-0.26717759114351153,12.746826193994622
design_1,ATE,2FE,Z,100,0.3,sd_estimate,77.71192283828138,2.757371806080774,71.88523200499031,82.1041211437001
design_1,ATE,2FE,Z,100,0.3,rmse,77.86693042763928,2.724511262899029,72.26030788066703,82.08251206812433
design_1,ATE,2FE,Z,100,0.3,power,0.326,0.019866219234335118,0.292,0.364
design_1,ATE,2FE,Z,100,0.3,coverage,0.964,0.008151569223657548,0.94695,0.97705
design_2,ATE,2FE,Z,150,0.3,mean_estimand,150,0,150,150
design_2,ATE,2FE,Z,150,0.3,mean_estimate,149.1835986623052,3.5820225783328024,142.66951170920242,155.49247959140703
design_2,ATE,2FE,Z,150,0.3,bias,-0.8164013376947891,3.5820225783328024,-7.33048829079754,5.492479591407041
design_2,ATE,2FE,Z,150,0.3,sd_estimate,79.07145199893137,2.398535732383226,74.66228777924616,83.043530687638
design_2,ATE,2FE,Z,150,0.3,rmse,78.99655969294523,2.400002469860658,74.61961306324471,82.99324639064412
design_2,ATE,2FE,Z,150,0.3,power,0.446,0.020287788037002544,0.40895,0.48305
design_2,ATE,2FE,Z,150,0.3,coverage,0.962,0.009510950626419105,0.94495,0.976
design_3,ATE,2FE,Z,200,0.3,mean_estimand,200,0,200,200
design_3,ATE,2FE,Z,200,0.3,mean_estimate,193.55675808039598,3.3787151108722666,187.91266848390367,200.06146546748795
design_3,ATE,2FE,Z,200,0.3,bias,-6.443241919604029,3.3787151108722675,-12.08733151609633,0.0614654674879635
design_3,ATE,2FE,Z,200,0.3,sd_estimate,77.39531786989522,2.105085849801826,73.08500899142447,80.81598659149881
design_3,ATE,2FE,Z,200,0.3,rmse,77.58589127000026,2.1100377428592707,73.2243801777073,81.03516707128146
design_3,ATE,2FE,Z,200,0.3,power,0.706,0.021319540996063396,0.66295,0.74905
design_3,ATE,2FE,Z,200,0.3,coverage,0.972,0.007597341374428035,0.958,0.986
design_4,ATE,2FE,Z,100,0.6,mean_estimand,100,0,100,100
design_4,ATE,2FE,Z,100,0.6,mean_estimate,106.11469363748319,3.5406190703507807,99.85774980242948,113.10663994700005
design_4,ATE,2FE,Z,100,0.6,bias,6.1146936374831835,3.5406190703507803,-0.14225019757053015,13.10663994700004
design_4,ATE,2FE,Z,100,0.6,sd_estimate,71.23386212149259,2.212886428378515,66.73370855901452,75.33807204353107
design_4,ATE,2FE,Z,100,0.6,rmse,71.4248140690517,2.271320380981008,66.7406350905599,75.7476472772812
design_4,ATE,2FE,Z,100,0.6,power,0.404,0.023519937813427032,0.36295,0.4521
design_4,ATE,2FE,Z,100,0.6,coverage,0.982,0.006484044130234491,0.97,0.992
design_5,ATE,2FE,Z,150,0.6,mean_estimand,150,0,150,150
design_5,ATE,2FE,Z,150,0.6,mean_estimate,150.369370487414,3.055355438071763,145.08147199268154,156.20534386724836
design_5,ATE,2FE,Z,150,0.6,bias,0.3693704874139877,3.055355438071763,-4.9185280073184305,6.205343867248373
design_5,ATE,2FE,Z,150,0.6,sd_estimate,71.55016753870262,2.0874314404059033,67.35837818812763,75.37872789872618
design_5,ATE,2FE,Z,150,0.6,rmse,71.47953592759086,2.0820083625561603,67.32820019353395,75.36992565231436
design_5,ATE,2FE,Z,150,0.6,power,0.55,0.021605872751956506,0.512,0.594
design_5,ATE,2FE,Z,150,0.6,coverage,0.982,0.00518346243627586,0.972,0.992
design_6,ATE,2FE,Z,200,0.6,mean_estimand,200,0,200,200
design_6,ATE,2FE,Z,200,0.6,mean_estimate,201.16310388817297,2.9693202109355856,195.4747259738927,207.28522000391837
design_6,ATE,2FE,Z,200,0.6,bias,1.1631038881729587,2.9693202109355865,-4.525274026107291,7.285220003918381
design_6,ATE,2FE,Z,200,0.6,sd_estimate,71.53028699848294,1.784780587806223,68.5107369256196,75.07833814073854
design_6,ATE,2FE,Z,200,0.6,rmse,71.46818596287336,1.7917286640534276,68.48186005912454,75.02578047211547
design_6,ATE,2FE,Z,200,0.6,power,0.78,0.016103001790556532,0.75095,0.8092499999999999
design_6,ATE,2FE,Z,200,0.6,coverage,0.986,0.005074435829715362,0.974,0.994
design_7,ATE,2FE,Z,100,0.9,mean_estimand,100,0,100,100
