design,inquiry,estimator,outcome,term,communities_per_arm,effect_size_matching,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,Matched CEM,Y,Z,5,0.01,mean_estimand,0.01,0,0.01,0.01
design_1,ATE,Matched CEM,Y,Z,5,0.01,mean_estimate,0.006028898910517135,0.00870187845203314,-0.011392769272511896,0.021296070556716534
design_1,ATE,Matched CEM,Y,Z,5,0.01,bias,-0.003971101089482868,0.00870187845203314,-0.0213927692725119,0.011296070556716532
design_1,ATE,Matched CEM,Y,Z,5,0.01,sd_estimate,0.19455986119357707,0.006660917889652239,0.18345983808404043,0.20773034658424167
design_1,ATE,Matched CEM,Y,Z,5,0.01,rmse,0.19440576676722207,0.00661543920306027,0.18336145798934816,0.20754216000642817
design_1,ATE,Matched CEM,Y,Z,5,0.01,power,0.054,0.010302495529793456,0.038,0.07609999999999997
design_1,ATE,Matched CEM,Y,Z,5,0.01,coverage,0.942,0.010765658082040002,0.92,0.958
design_2,ATE,Matched CEM,Y,Z,30,0.01,mean_estimand,0.01,0,0.01,0.01
design_2,ATE,Matched CEM,Y,Z,30,0.01,mean_estimate,0.014055174160515275,0.005296040233635878,0.004718969879425496,0.02638201855144349
design_2,ATE,Matched CEM,Y,Z,30,0.01,bias,0.004055174160515273,0.005296040233635878,-0.005281030120574505,0.01638201855144349
design_2,ATE,Matched CEM,Y,Z,30,0.01,sd_estimate,0.11948443047048121,0.0038503746967128317,0.11250686334117625,0.12660231793736604
design_2,ATE,Matched CEM,Y,Z,30,0.01,rmse,0.11943374943489657,0.0038149664191946655,0.11269331558021867,0.12658054611665887
design_2,ATE,Matched CEM,Y,Z,30,0.01,power,0.24,0.019022963263201964,0.208,0.27505
design_2,ATE,Matched CEM,Y,Z,30,0.01,coverage,0.762,0.019086575746774862,0.724,0.79705
design_3,ATE,Matched CEM,Y,Z,50,0.01,mean_estimand,0.01,0,0.01,0.01
design_3,ATE,Matched CEM,Y,Z,50,0.01,mean_estimate,0.014389338803532322,0.004956648820617354,0.005068129526260643,0.025034897365114356
