design,inquiry,estimator,outcome,term,rho,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,Matched CEM,Y,Z,0,mean_estimand,0.1,0,0.1,0.1
design_1,ATE,Matched CEM,Y,Z,0,mean_estimate,0.10324900292650058,0.007458707106564429,0.08902920329391861,0.11920646062169796
design_1,ATE,Matched CEM,Y,Z,0,bias,0.0032490029265005724,0.007458707106564429,-0.010970796706081396,0.019206460621697955
design_1,ATE,Matched CEM,Y,Z,0,sd_estimate,0.14928160983263045,0.005151928189959508,0.1393496940932347,0.15756355745307127
design_1,ATE,Matched CEM,Y,Z,0,rmse,0.14916764078100073,0.005198613819329987,0.13929585359221386,0.15766192060167383
design_1,ATE,Matched CEM,Y,Z,0,power,0.206,0.018430146581899533,0.168,0.242
design_1,ATE,Matched CEM,Y,Z,0,coverage,0.85,0.015058820697786428,0.8158000000000001,0.8731499999999999
design_1,ATE,Matched PSM,Y,Z,0,mean_estimand,0.1,0,0.1,0.1
design_1,ATE,Matched PSM,Y,Z,0,mean_estimate,0.10558000000000002,0.007432341260064732,0.09129150000000003,0.119118
design_1,ATE,Matched PSM,Y,Z,0,bias,0.005580000000000012,0.007432341260064733,-0.008708499999999985,0.019118000000000003
design_1,ATE,Matched PSM,Y,Z,0,sd_estimate,0.14829378170167073,0.004909269340046431,0.1376539311322125,0.15593842367011262
design_1,ATE,Matched PSM,Y,Z,0,rmse,0.14825046374295092,0.004940826991144913,0.13784729541178864,0.1561870882428037
design_1,ATE,Matched PSM,Y,Z,0,power,0.24,0.021370233238944044,0.19695000000000001,0.276
design_1,ATE,Matched PSM,Y,Z,0,coverage,0.858,0.015222245815804187,0.82895,0.882
design_1,ATE,Not matched,Y,Z,0,mean_estimand,0.1,0,0.1,0.1
design_1,ATE,Not matched,Y,Z,0,mean_estimate,0.09739333333333328,0.007726600638257422,0.08279783333333329,0.1112536666666666
design_1,ATE,Not matched,Y,Z,0,bias,-0.0026066666666667315,0.007726600638257422,-0.017202166666666713,0.011253666666666589
design_1,ATE,Not matched,Y,Z,0,sd_estimate,0.15543441812835404,0.0050618952880464654,0.14349475624935337,0.1637757193056869
design_1,ATE,Not matched,Y,Z,0,rmse,0.15530078342794446,0.005052238040668261,0.14365544132779778,0.1638714551885075
design_1,ATE,Not matched,Y,Z,0,power,0.278,0.020933092065778126,0.23695,0.316
design_1,ATE,Not matched,Y,Z,0,coverage,0.828,0.016558387663664652,0.79695,0.8631499999999999
design_2,ATE,Matched CEM,Y,Z,0.25,mean_estimand,0.1,0,0.1,0.1
design_2,ATE,Matched CEM,Y,Z,0.25,mean_estimate,0.10276270413211917,0.006143007569264004,0.09042007357041403,0.11354843687557642
design_2,ATE,Matched CEM,Y,Z,0.25,bias,0.0027627041321191684,0.006143007569264003,-0.009579926429585984,0.013548436875576416
design_2,ATE,Matched CEM,Y,Z,0.25,sd_estimate,0.1489861294579143,0.004606739527142704,0.14031501415200864,0.15779444155023503
