design,inquiry,estimator,outcome,term,effect_size_simple,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,Simple,Y,Z,100,mean_estimand,70,0,70,70
design_1,ATE,Simple,Y,Z,100,mean_estimate,67.30484436834101,2.945654149555492,61.75469341704725,72.84552923563554
design_1,ATE,Simple,Y,Z,100,bias,-2.69515563165899,2.9456541495554918,-8.245306582952757,2.845529235635536
design_1,ATE,Simple,Y,Z,100,sd_estimate,59.8238508415788,0.8077557612720515,58.45414103353685,61.57989694015892
design_1,ATE,Simple,Y,Z,100,rmse,59.82473741802217,0.786387003004512,58.46895540810364,61.55162929842154
design_1,ATE,Simple,Y,Z,100,power,0.226,0.018405916923038033,0.19495,0.26505
design_1,ATE,Simple,Y,Z,100,coverage,1,0,1,1
design_2,ATE,Simple,Y,Z,150,mean_estimand,70,0,70,70
design_2,ATE,Simple,Y,Z,150,mean_estimate,65.61197773972609,3.039924556107989,60.81252734493918,71.74263264126719
design_2,ATE,Simple,Y,Z,150,bias,-4.388022260273908,3.039924556107989,-9.187472655060823,1.7426326412671944
design_2,ATE,Simple,Y,Z,150,sd_estimate,60.842586609485835,0.860275851699083,59.31684952821524,62.47067505995274
design_2,ATE,Simple,Y,Z,150,rmse,60.93990026246169,0.8076304021800517,59.614243561809104,62.45638699970217
design_2,ATE,Simple,Y,Z,150,power,0.23,0.021485245113234283,0.19495,0.2681
design_2,ATE,Simple,Y,Z,150,coverage,1,0,1,1
design_3,ATE,Simple,Y,Z,200,mean_estimand,70,0,70,70
design_3,ATE,Simple,Y,Z,200,mean_estimate,69.27460530821925,2.8829925159141476,63.450767175608895,74.38346881659064
design_3,ATE,Simple,Y,Z,200,bias,-0.7253946917807543,2.882992515914148,-6.549232824391106,4.383468816590634
design_3,ATE,Simple,Y,Z,200,sd_estimate,60.13294245596923,0.7936998769450198,58.60947786469431,61.709224948815546
design_3,ATE,Simple,Y,Z,200,rmse,60.07715892362874,0.7943410969568164,58.57401758960754,61.71068443436125
design_3,ATE,Simple,Y,Z,200,power,0.242,0.01999882824850325,0.208,0.28009999999999996
design_3,ATE,Simple,Y,Z,200,coverage,1,0,1,1
design_4,ATE,Simple,Y,Z,250,mean_estimand,70,0,70,70
design_4,ATE,Simple,Y,Z,250,mean_estimate,72.01210064687983,2.54042961937472,66.89254660388134,76.62648061025502
design_4,ATE,Simple,Y,Z,250,bias,2.0121006468798255,2.5404296193747204,-3.1074533961186575,6.626480610255012
design_4,ATE,Simple,Y,Z,250,sd_estimate,59.52964107446826,0.7184027328911506,58.133832850994466,60.7507302120949
design_4,ATE,Simple,Y,Z,250,rmse,59.504110438988015,0.717101132666278,58.26911319346884,60.81788641758739
design_4,ATE,Simple,Y,Z,250,power,0.266,0.017998024582961566,0.2339,0.3021999999999999
design_4,ATE,Simple,Y,Z,250,coverage,1,0,1,1
design_5,ATE,Simple,Y,Z,300,mean_estimand,70,0,70,70
design_5,ATE,Simple,Y,Z,300,mean_estimate,73.28804004946736,2.419895853547613,69.94577328291484,79.42766391742776
design_5,ATE,Simple,Y,Z,300,bias,3.2880400494673507,2.4198958535476134,-0.05422671708516373,9.42766391742777
design_5,ATE,Simple,Y,Z,300,sd_estimate,60.114439910351635,0.804464267957234,58.54055146717315,61.60972102758279
design_5,ATE,Simple,Y,Z,300,rmse,60.14423996801945,0.7683884618533275,58.75906578794046,61.74185331776786
design_5,ATE,Simple,Y,Z,300,power,0.296,0.019069029309009906,0.26295,0.33305
design_5,ATE,Simple,Y,Z,300,coverage,1,0,1,1
